id,title,author,year
1,A cinza das Horas,Manuel Bandeira,1917
2,Carnaval,Manuel Bandeira,1919
3,O Ritmo Dissoluto,Manuel Bandeira,1924
4,Libertinagem,Manuel Bandeira,1930
5,Lira dos Cinquent'anos,Manuel Bandeira,1940
6,Belo Belo,Manuel Bandeira,1948
7,Mafua do Malungo,Manuel Bandeira,1948
8,Estrela da Tarde,Manuel Bandeira,1960
9,Estrela da Vida Inteira,Manuel Bandeira,1968
10,Mensagem,Fernando Pessoa,1934
11,Crime e Castigo,Fiodor Dostoievski,1866
12,Os Irmaos Karamazov,Fiodor Dostoievski,1880
13,Noites Brancas,Fiodor Dostoievski,1848
14,Memorias do Subsolo,Fiodor Dostoievski,1864
15,Os Demonios ,Fiodor Dostoievski,1872
16,Um Jogador,Fiodor Dostoievski,1866
17,Recordacoes da Casa dos Mortos,Fiodor Dostoievski,1862
18,The Waste Land,T. S. Eliot,1922
19,O Crime do Padre Amaro,Eca de Queiros ,1875
20,Os Maias,Eca de Queiros ,1888
